yy;id;January;February;March;April;May;June;July;August;September;October;November;December
1995;abruzzo_1112;0;0;0.08;0.08;5.48;14.68;24.64;26.119999999999997;12.32;2.36;0.24;0
2005;abruzzo_1112;0;0;0.07407407407407407;0.5925925925925926;6.4523809523809526;18.62962962962963;26.814814814814813;27.703703703703706;12.62962962962963;2.2005108556832695;0.14814814814814814;0
1985;abruzzo_1707;0;0;0;0;0.07692307692307693;1.3076923076923077;6.5;6.884615384615384;0.7307692307692307;0;0;0
1995;abruzzo_1707;0;0;0;0;0.20689655172413793;2.75;8.13793103448276;7.9655172413793105;0.7931034482758621;0;0;0
2005;abruzzo_1707;0;0;0;0;0.2962962962962963;3.8489010989010985;9.851851851851853;10.222222222222221;0.7777777777777778;0;0;0
1985;abruzzo_1940;0;0;0;0.34615384615384615;3.115384615384615;12.076923076923077;21.423076923076923;21.384615384615383;7.576923076923077;0.9615384615384615;0;0
1995;abruzzo_1940;0;0;0.07142857142857142;0.25;4.678571428571428;13.714285714285714;23.25;23.544827586206896;7.482758620689655;0.8965517241379309;0.034482758620689655;0
2005;abruzzo_1966;0;0;0.12;0.52;6.319999999999999;19.040000000000003;27.319999999999997;28.076;13.44;2.3253333333333335;0.24;0
1985;abruzzo_1975;0;0;0;0.11538461538461538;2.0384615384615383;11.192307692307693;21.653846153846153;22.153846153846153;11.192307692307693;1.7307692307692308;0;0
1995;abruzzo_1975;0;0;0.10344827586206896;0.034482758620689655;3.689655172413793;13.10344827586207;23.75862068965517;24.82758620689655;11.03448275862069;2.2413793103448274;0.034482758620689655;0
2005;abruzzo_1975;0;0;0.10344827586206896;0.27586206896551724;4.206896551724138;15.413793103448278;24.79310344827586;26.620689655172413;10.703923900118907;1.7586206896551724;0.07427055702917772;0
1985;abruzzo_1982;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;0
1995;abruzzo_1982;0;0;0.13793103448275862;0.3103448275862069;4.728735632183908;14.586206896551722;26.310344827586206;27.06896551724138;10.689655172413794;2.413793103448276;0.1724137931034483;0
2005;abruzzo_1982;0;0;0.13793103448275862;0.48275862068965514;4.655172413793104;17.413793103448278;27.206896551724135;29;11.03448275862069;1.8275862068965516;0.1724137931034483;0
1985;abruzzo_2;0;0;0;0.48;4.08;15.120000000000001;25.88;25.08;14.32;2;0.04;0
1995;abruzzo_2;0;0;0.17857142857142858;0.32142857142857145;6.214285714285714;17;27.321428571428573;27.464285714285715;14.392857142857142;2.7857142857142856;0.14285714285714285;0
