yy;id;win;spr;sum;aut
1975;aeronautica_6709;6.310517925561029;14.353461538461538;NA;NA
1975;aeronautica_6720;10.119366271044226;13.226847290640395;8.14039408866995;12.797701149425288
1975;aeronautica_6721;10.128226663898483;13.559386973180075;11.721674876847292;12.087164750957854
1975;aeronautica_6729;10.232307376531514;14.463333333333333;14.2;12.641424501424503
1975;aeronautica_6730;10.656187283342454;12.844729344729345;14.094017094017094;13.286719576719577
1975;aeronautica_6769;9.324555517807598;10.210344827586207;9;12.342857142857143
1975;aeronautica_6771;10.216746137004757;10.01925925925926;3.7264957264957266;10.213675213675213
1975;aeronautica_6773;14.19092775041051;13.388505747126437;6.902298850574713;14.608045977011495
1975;aeronautica_6779;NA;NA;NA;NA
1975;aeronautica_6782;16.426313628899834;NA;12.862179487179487;NA
1975;aeronautica_6827;17.23707086017431;11.552706552706553;5.102564102564102;16.447293447293447
1975;aeronautica_6828;NA;NA;NA;NA
1975;aeronautica_6841;13.032173645320198;7.736453201970443;2.2547008547008547;13.614285714285714
1975;aeronautica_6856;11.091399835796388;7.433333333333334;3.0919540229885056;9.241379310344827
1975;aeronautica_6859;11.135467980295566;7.725287356321839;3.9105090311986865;10.650574712643678
1975;aeronautica_6881;19.949791206613444;10.327586206896552;3.029556650246305;14.183333333333334
1975;aeronautica_6883;10.756741549176152;6.5935960591133;0.9039408866995073;9.413793103448274
1975;aeronautica_6891;NA;4.8076923076923075;NA;NA
1975;aeronautica_6919;11.142332603539499;7.392857142857142;1.4695767195767195;9.453296703296704
1975;aeronautica_6923;9.51907840722496;6.533333333333333;1.225287356321839;8.73103448275862
1975;bolzano_102;6.005008210180623;11.666666666666668;23.46666666666667;11.466666666666665
1975;bolzano_150;8.631629720853859;15.266666666666666;20.833333333333332;13.133333333333333
1975;bolzano_172;4.642954107921408;11.033333333333333;18.133333333333333;10.533333333333333
1975;bolzano_176;4.699727116752978;12.793103448275861;18.862068965517242;10.137931034482758
1975;bolzano_197;6.824188890776286;13.793103448275861;19.379310344827587;11.535714285714285
1975;bolzano_203;5.4633210180623974;11.066666666666666;15.133333333333333;9.966666666666667
1975;bolzano_223;6.024709104807203;11.5;21.366666666666667;12.033333333333333
1975;bolzano_5;6.09986658456486;10.233333333333334;14.399999999999999;9.8
1975;bolzano_94;5.366143267651888;11.1;20.77126436781609;10.84367816091954
1975;calabria_108;11.820824210910416;5.928480204342273;2.02599890530925;9.862068965517242
1975;calabria_127;21.07176724137931;12.799999999999999;4.5;14.1
1975;calabria_135;21.417696447868863;13.355555555555554;5.834482758620689;13.566666666666666
1975;calabria_140;21.05809476568405;12.580131362889983;3.466666666666667;13.791954022988506
1975;calabria_157;24.566967250501733;13.533333333333333;3.9214285714285713;14.068965517241379
1975;calabria_160;25.482345743337124;14.761083743842365;4.186462324393359;14.51058201058201
1975;calabria_18;20.248559992962704;11.49808429118774;3.7669129720853856;12.971428571428572
1975;calabria_191;16.029289819376025;8.266666666666666;2;11.266666666666666
1975;calabria_196;19.697410962006682;9.904597701149426;2.7195402298850575;11.066666666666666
1975;calabria_198;NA;NA;5.718333333333333;18.85076923076923
1975;calabria_208;29.780468892537858;17.48809523809524;4.9;17.266666666666666
1975;calabria_212;18.962204858162053;9.670114942528736;2.0666666666666664;11.986206896551725
1975;calabria_213;19.267071474183542;9.752380952380953;2.2;13.685057471264368
1975;calabria_215;28.168368470389872;16.580459770114942;2.4781609195402297;16.642857142857142
1975;calabria_217;12.92774014778325;5.947126436781609;1.2137931034482758;10.226281700419632
1975;calabria_218;16.69581487797005;8.811111111111112;1.9333333333333333;10.866666666666665
1975;calabria_226;19.17851834550705;10.114942528735632;1.6666666666666665;10.94367816091954
1975;calabria_246;18.870043103448275;10.931034482758621;3.5999999999999996;14.05632183908046
1975;calabria_261;26.25843376143561;15.496633825944171;5.4735632183908045;17.43793103448276
1975;calabria_266;24.280213464696224;13.561904761904762;4.466666666666667;15.973809523809523
1975;calabria_290;22.23051404853129;13.344827586206897;4.891625615763546;15.114532019704434
1975;calabria_294;20.645987274220033;10.980459770114942;3.952873563218391;14.7
1975;calabria_307;26.046798029556648;15.755665024630542;5.11264367816092;16.551724137931036
1975;calabria_338;24.601367468738157;16.57844827586207;4.967816091954022;15.540476190476191
1975;calabria_343;22.924035303776684;13.835632183908046;4.699999999999999;14.757471264367815
1975;calabria_345;22.63304597701149;14.413793103448276;4.364367816091954;16.191954022988504
1975;calabria_380;10.927902885292047;6.172413793103448;2.3411330049261085;8.740649516511585
1975;calabria_386;16.960842392842988;9.866666666666667;3.933333333333333;12
1975;calabria_60;16.32033388067871;9.173973727422004;2.8333333333333335;12.1
1975;calabria_7;NA;15.68;4.566666666666666;15.383908045977012
1975;emiliaromagna_14158;10.527945402298851;12.733333333333333;9.1;11.766666666666666
1975;emiliaromagna_14246;NA;9.423908045977011;8.666666666666666;9.394871794871793
1975;emiliaromagna_14271;10.995238095238095;12.575862068965517;9.333333333333332;12.5
1975;emiliaromagna_14415;10.89217767963309;13.482758620689655;9.724137931034482;13.827586206896552
1975;emiliaromagna_14444;NA;NA;10.172413793103448;11.323607427055702
1975;emiliaromagna_14458;8.44281892305079;10.241379310344827;8.537675606641123;10.275862068965516
1975;emiliaromagna_9101;14.955093850857823;15.330623973727421;9.32183908045977;15.229885057471265
1975;emiliaromagna_9177;NA;9.577777777777778;8.733333333333333;10.149999999999999
1975;emiliaromagna_9230;20.91446827677431;23.328888888888887;15.025641025641026;22.230769230769226
