id;1975;1985;1995;2005
abruzzo_1112;NA;NA;4050.71;4186.353703703704
abruzzo_1707;NA;2028.675;2119.457881773399;2211.1707977207975
abruzzo_1966;NA;NA;NA;3904.012769230769
abruzzo_1982;NA;NA;4201.312068965517;4314.7
abruzzo_2135;NA;2486.694;2609.605357142857;2716.889021164021
abruzzo_2137;NA;NA;NA;4076.5353448275864
aeronautica_6686;1207.4334147334148;1232.5508585112207;1365.014595876665;1505.5756773399014
aeronautica_6690;NA;3012.458475783476;3181.8107512315273;3373.1635837438425
aeronautica_6691;684.025632183908;731.1733602444809;856.3562621924691;937.0307441441062
aeronautica_6692;581.0843883415436;614.4779926108374;705.7871592775041;794.1147824302135
aeronautica_6693;1524.0839244663382;1559.8214367816092;1648.9767241379311;1755.9559523809523
aeronautica_6694;3251.882052545156;3282.756867816092;3347.340422824302;3321.2746921182265
aeronautica_6697;2010.1650862068966;2032.2635878489327;2123.5933251231527;2231.2519503740195
aeronautica_6700;NA;3193.210400474366;3212.7168559569423;NA
aeronautica_6703;NA;NA;NA;NA
aeronautica_6707;3121.084;3195.3121305418717;3329.39;3467.2063218390804
aeronautica_6709;2641.7371264367816;2725.182701149425;2890.7190804597703;3075.0393103448278
aeronautica_6710;3173.7518965517243;3205.329987684729;3222.8227680308196;NA
aeronautica_6711;NA;3075.8764778325126;3219.1216666666664;3375.755344827586
aeronautica_6717;NA;3263.7660714285716;3400.2183333333332;3559.229425287356
aeronautica_6718;3369.0145;3450.8241379310343;3605.5516666666667;3759.658218390805
aeronautica_6720;3251.7385057471265;3281.302471264368;3391.8016954022987;3490.7557183908048
aeronautica_6721;3453.3061494252875;3493.260882594417;3644.8611206896553;3769.461670771757
aeronautica_6723;3295.5866666666666;3319.859133825944;3484.640332512315;3662.7711001642037
aeronautica_6729;3414.9649014778324;3472.6282503192847;3637.188314176245;3815.617816091954
aeronautica_6730;3416.3464942528735;3465.822183908046;3603.0337803320563;3795.230663200146
aeronautica_6733;3275.2941666666666;3360.0020935960592;3493.1216666666664;3669.7049425287355
aeronautica_6735;NA;3338.690939153439;3451.870804597701;3591.9222413793104
aeronautica_6736;NA;3954.968472906404;4081.3216666666667;4219.086091954023
aeronautica_6749;NA;1789.5575064102563;1849.2000111574248;NA
