yy;id;January;February;March;April;May;June;July;August;September;October;November;December
1975;aeronautica_6686;625.4;546.0642857142857;520.9037037037037;408.98035714285714;305.13965517241377;209.84807692307692;149.41724137931035;165.86785714285713;223.64038461538462;350.86785714285713;474.28846153846155;592.3767857142857
1975;aeronautica_6690;542.3;412.34791666666666;316.0375;NA;NA;NA;NA;NA;NA;NA;NA;NA
1975;aeronautica_6691;717.98;645.2233333333334;652.7833333333333;547.73;430.54;309.00166666666667;242.25166666666667;251.035;309.3283333333333;427.0416666666667;564.0566666666666;682.1724137931035
1975;aeronautica_6692;724.8216666666667;658.25;673.485;575.1;463.5733333333333;330.28833333333336;264.35333333333335;276.925;338.01666666666665;460.3516666666667;584.4017241379311;689.1396551724138
1975;aeronautica_6693;637.7678571428571;530.7810344827586;477.95862068965516;358.32166666666666;247.4293103448276;139.85;79.18333333333334;99.75;179.355;321.38448275862066;476.42;621.3534482758621
1975;aeronautica_6694;470.975;383.90166666666664;314.49666666666667;178.08333333333334;49.83;7.916666666666667;0.2258620689655172;0.385;14.338333333333335;124.86896551724138;300.598275862069;439.8357142857143
1975;aeronautica_6697;609.3933333333333;502.94166666666666;442.24333333333334;318.55833333333334;187.895;82.955;36.748333333333335;40.320689655172416;108.35166666666666;264.945;439.7689655172414;580.1482142857143
1975;aeronautica_6703;NA;837.4395833333333;911.1145833333334;NA;NA;NA;NA;NA;NA;NA;NA;NA
1975;aeronautica_6707;477.318;377.964;303.12;193.12291666666667;64.29791666666667;9.570833333333333;0.3666666666666667;0.6145833333333334;15.535416666666666;144.954;331.796;451.404
1975;aeronautica_6709;438.485;373.40333333333336;334.80172413793105;236.99833333333333;131.275;40.068333333333335;5.673333333333333;9.523333333333333;49.26;179.49666666666667;321.8433333333333;404.2655172413793
1975;aeronautica_6710;506.175;395.125;312.64166666666665;182.02166666666668;56.1;6.676666666666667;0.10333333333333337;0.20833333333333334;15.22;144.52241379310345;333.31166666666667;475.7583333333333
1975;aeronautica_6711;503.89166666666665;402.8645833333333;331.2895833333333;NA;NA;NA;NA;NA;NA;NA;NA;NA
1975;aeronautica_6718;490.342;375.298;287.662;165.83541666666667;40.49791666666667;3.470833333333333;0;0;7.05;122.112;320.556;460.396
1975;aeronautica_6720;497.555;384.21166666666664;303.5916666666667;177.11333333333334;52.44137931034483;5.846666666666667;0;0;11.903333333333332;130.01896551724138;319.85833333333335;463.68793103448274
1975;aeronautica_6721;505.95166666666665;380.85833333333335;289.84833333333336;155.21166666666667;31.486666666666668;2.6733333333333333;0;0;7.505172413793103;117.03166666666667;313.505;474.9948275862069
1975;aeronautica_6723;493.68;377.86333333333334;300.63666666666666;172.10166666666666;45.65833333333333;4.523333333333333;0.21500000000000002;0;12.566666666666666;131.10333333333332;318.09;469.17333333333335
1975;aeronautica_6729;473.8303571428571;368.798275862069;294.4816666666667;160.25666666666666;37.545;3.2724137931034485;0.11166666666666665;0.16379310344827586;8.882758620689655;113.92166666666667;295.01;444.74827586206897
1975;aeronautica_6730;471.3724137931035;370.05689655172415;295.4583333333333;157.61833333333334;34.291666666666664;2.5516666666666667;0.1016666666666667;0.1466666666666666;8.986206896551725;115.575;297.18833333333333;444.3551724137931
1975;aeronautica_6733;472.202;373.56;311.786;181.375;43.56041666666666;3.002083333333333;0.16875000000000004;0.4375;8.397916666666665;120.968;306.646;441.612
