id;1975;1985;1995;2005
abruzzo_1112;NA;NA;1610.884;1549.2111111111112
abruzzo_1707;NA;3544.982692307692;3477.211145320197;3395.7389601139603
abruzzo_1966;NA;NA;NA;1676.4796923076924
abruzzo_1982;NA;NA;1501.191379310345;1439.096551724138
abruzzo_2135;NA;2934.726;2869.2732142857144;2750.085515873016
abruzzo_2137;NA;NA;NA;1570.6344211822661
aeronautica_6686;4572.794666189494;4528.990270844736;4438.245353353543;4268.367918719212
aeronautica_6690;NA;2619.0404914529913;2532.2525903119868;2390.2322701149424
aeronautica_6691;5779.1440804597705;5661.108866995074;5477.556928655636;5296.709368728334
aeronautica_6692;6038.706379310345;5891.209018883415;5762.749310344828;5598.036703612479
aeronautica_6693;4169.554753694581;4115.204425287357;4058.752298850575;3935.7525
aeronautica_6694;2285.455484400657;2249.84013136289;2112.5283210180623;1888.7548275862068
aeronautica_6697;3614.2695361247947;3557.328702791461;3464.530813264003;3336.83437511403
aeronautica_6700;NA;2334.4063724685275;2179.0424169859516;NA
aeronautica_6703;NA;NA;NA;NA
aeronautica_6707;2370.0643333333333;2325.8683497536945;2269.34;2173.9020114942527
aeronautica_6709;2525.093908045977;2536.238103448276;2496.597931034483;2405.3310344827587
aeronautica_6710;2427.8640804597703;2379.268501642036;2244.7999853479855;NA
aeronautica_6711;NA;2501.450184729064;2440.4049999999997;2314.6449425287356
aeronautica_6717;NA;2305.1892857142857;2244.6116666666667;2127.212528735632
aeronautica_6718;2273.2201666666665;2225.1314039408867;2157.1066666666666;2050.8651149425286
aeronautica_6720;2346.228275862069;2269.5378735632185;2192.9705747126436;2071.7698604269294
aeronautica_6721;2279.0666666666666;2221.8329392446635;2151.5834031198688;2006.4125492610838
aeronautica_6723;2325.6116666666667;2301.449302134647;2230.066428571429;2105.245812807882
aeronautica_6729;2201.0225410509033;2184.064527458493;2101.6947828863345;1982.004856321839
aeronautica_6730;2197.702356321839;2137.366775223499;2063.923275862069;1938.541154898741
aeronautica_6733;2263.7156666666665;2219.707943349754;2152.0633333333335;2023.5224137931034
aeronautica_6735;NA;2220.9136904761904;2164.4950574712643;2052.6606896551725
aeronautica_6736;NA;1649.402093596059;1609.3633333333332;1538.4196551724137
aeronautica_6749;NA;3526.6219893162393;3437.520529065443;NA
aeronautica_6750;NA;1284.2301039956212;1216.534818919905;NA
aeronautica_6758;5378.718333333333;5290.055;5139.8892857142855;4971.287362251414
aeronautica_6763;NA;2149.34708994709;2111.5016666666666;2013.5650574712645
aeronautica_6766;1956.7877052545157;1934.600913610655;1821.5307830196623;NA
aeronautica_6768;NA;2154.936692209451;2099.218293650794;2004.552966015466
aeronautica_6769;2035.5583333333334;1974.8501724137932;1911.7337356321839;1854.2567816091955
aeronautica_6771;1253.7960113960114;1217.9058620689655;1180.2462068965517;1111.1627586206896
aeronautica_6773;1661.571724137931;1638.6746551724138;1601.7036206896553;1534.6525287356321
aeronautica_6776;1819.7367955665025;1821.7493103448276;1769.680287356322;1687.2201149425287
aeronautica_6777;1595.399;1592.957881773399;1578.6483333333333;1546.6786206896552
aeronautica_6779;1941.5756116584564;1934.3586206896553;1905.1631609195401;1873.950287356322
aeronautica_6782;2299.290804597701;2213.600804597701;2141.5069540229883;2060.122931034483
aeronautica_6784;NA;1945.5392195767197;1909.9217816091955;1852.7679310344827
aeronautica_6787;NA;1864.080357142857;1807.0900000000001;1740.5447126436782
aeronautica_6790;NA;NA;1434.0837461229703;1382.8415024630542
aeronautica_6794;1605.4046551724139;1594.1748850574713;1524.3222988505747;1446.8711494252873
aeronautica_6795;NA;849.9358824189859;NA;764.9365948907414
aeronautica_6797;1786.7443732193733;1800.7567159277505;1784.607948921449;1688.8516971916972
aeronautica_6803;1480.183711001642;1468.3291502463053;1440.4776353276352;1386.9753306878306
aeronautica_6810;NA;1667.041194581281;1621.923908045977;1564.431896551724
aeronautica_6812;959.3644434269435;973.4199621419449;945.5516666666667;909.1216666666667
aeronautica_6814;1452.5684154351395;1443.2051724137932;1350.1237100893998;NA
aeronautica_6815;NA;NA;1287.9955606641124;1240.098895730706
aeronautica_6817;1507.5033333333333;1482.0618965517242;1433.1671264367815;1356.7935632183908
aeronautica_6819;NA;1469.2936507936508;1419.6233333333334;1334.7558620689656
aeronautica_6820;1321.0966666666666;1314.4833333333333;1276.6885057471263;1181.3295535626569
aeronautica_6821;1852.8085057471264;1833.0683333333334;1762.7350000000001;1620.9693810436052
aeronautica_6822;1603.3933333333334;1606.8033333333333;1560.492183908046;1478.6087356321839
aeronautica_6826;2386.738441890166;2332.4071264367817;2261.106379310345;2185.7330459770114
aeronautica_6827;1356.9481481481482;1323.5083333333332;1266.256724137931;1198.521724137931
aeronautica_6828;2472.2418103448276;2472.624117405583;2418.8971623931625;2360.011752136752
aeronautica_6834;1581.3653448275861;1543.077643678161;1463.622356321839;1299.9208961727927
aeronautica_6836;3093.803109833972;3103.8424507389163;3042.104655172414;2926.0705747126435
aeronautica_6841;1146.89;1098.0752873563217;1032.885985221675;944.0445466155811
aeronautica_6844;NA;1290.6666871921182;1229.52;1158.0382936507938
aeronautica_6850;1045.455;995.1978530377668;938.996354679803;860.895200237183
aeronautica_6851;1886.9124137931035;1865.9258620689654;1795.6398275862068;1734.6231609195402
aeronautica_6853;2336.626908866995;2335.474261083744;2253.4227011494254;2164.7804995929996
aeronautica_6856;1139.6009770114943;1146.2198850574712;1110.3483908045978;1069.5864942528735
aeronautica_6858;NA;1042.9505172413792;999.2033333333333;982.9287356321839
aeronautica_6863;1471.9265845648604;1497.0404022988505;1402.2150836456008;1338.4339183964184
aeronautica_6865;3800.8160095364406;3709.1749548440066;3587.8995977011496;3510.311896551724
aeronautica_6869;1022.7331609195402;1034.3744252873564;1005.446157635468;980.3126149425287
aeronautica_6870;NA;NA;1143.2983333333334;1096.9255747126438
aeronautica_6881;632.9501149425288;644.0846551724138;648.6777586206897;631.0578735632184
aeronautica_6882;NA;NA;756.558004817341;724.9341995073892
aeronautica_6889;490.0703205128205;479.45082922824304;473.01240877577084;497.3886220580186
aeronautica_6891;1041.7720085470085;1026.4474137931034;991.5666091954023;981.4154095967889
aeronautica_6893;1100.8723333333335;1107.4019704433497;1061.2333333333333;1039.4993103448276
aeronautica_6897;758.7937192118227;697.3367118226602;710.3470689655172;720.7144458128079
aeronautica_6901;507.99885057471266;513.5933333333334;522.8226436781608;525.7427011494253
aeronautica_6914;958.5152435686919;965.3869813902572;917.7782908930151;NA
aeronautica_6919;988.2701286261631;981.1475273672687;968.3961850027367;971.4579310344827
aeronautica_6922;845.4792980295566;834.9142528735632;810.9582142857143;772.3382758620689
aeronautica_6923;1040.336551724138;1050.3613793103448;1013.3399876847291;975.0381034482758
aeronautica_6925;NA;NA;NA;661.0559126984127
basilicata_195;NA;NA;NA;NA
basilicata_41;NA;NA;NA;NA
basilicata_44;NA;NA;NA;NA
basilicata_48;NA;NA;NA;NA
bolzano_129;NA;NA;3596.8854166666665;3467.412471264368
bolzano_135;NA;NA;NA;4445.190740740741
bolzano_150;NA;4038.4;3987.2999999999997;3870.051436781609
bolzano_176;3115.8279556650245;3035.003633004926;2950.8133333333335;2840.429827586207
bolzano_18;NA;NA;NA;2771.9133333333334
bolzano_203;2517.131937602627;2472.2232183908045;2392.925;2252.8400574712646
bolzano_206;NA;NA;4305.348214285714;4124.707528735632
bolzano_223;4714.843333333333;4576.331666666667;4443.8550000000005;4280.391724137931
bolzano_23;NA;5699.680357142857;5555.08;5413.473214285714
bolzano_39;3518.715527065527;3437.5035714285714;3363.6035714285713;3270.1037931034484
bolzano_49;NA;NA;2518.139285714286;2396.854425287356
bolzano_5;3949.4020833333334;3881.528333333333;3794.4083333333333;3669.200287356322
bolzano_58;NA;NA;3696.9289655172415;3577.311264367816
bolzano_77;3713.7105172413794;3683.7982758620687;3596.6766666666667;3488.468
bolzano_83;4777.382;4671.806666666666;4560.748333333333;4405.22408045977
bolzano_94;NA;4613.103042328043;4465.207142857143;4319.6475287356325
calabria_10;NA;NA;NA;1448.5834551176793
calabria_107;NA;NA;NA;NA
calabria_111;NA;NA;NA;NA
calabria_112;NA;NA;NA;968.4674917898194
calabria_121;NA;NA;NA;NA
calabria_14;NA;NA;NA;3862.4148046398045
calabria_157;NA;NA;NA;1571.577183908046
calabria_177;NA;NA;NA;759.2261945812809
calabria_186;NA;NA;NA;2196.801607827039
calabria_208;NA;NA;NA;912.0071452991452
calabria_213;NA;NA;NA;1167.6677455686076
calabria_215;NA;NA;NA;1146.2269043057836
calabria_246;NA;NA;NA;672.5327586206897
calabria_284;NA;NA;NA;940.9266943707634
calabria_290;1342.7829000814002;NA;NA;1212.7347048545325
calabria_317;NA;NA;1756.6678326210827;1698.0788095238095
calabria_327;NA;NA;NA;1498.2440476190475
calabria_338;NA;NA;1866.1285512820514;1786.2915065681445
calabria_34;NA;NA;NA;1321.4699425287356
calabria_348;NA;NA;NA;1038.3649867724869
calabria_376;NA;NA;NA;1972.4176388152077
calabria_7;NA;NA;NA;1715.1633908045976
calabria_71;NA;NA;NA;920.5503530377669
calabria_85;NA;NA;NA;3293.0032963875205
emiliaromagna_12702;1965.4316666666666;1924.0516666666667;1874.5333333333333;1775.338103448276
emiliaromagna_14354;2009.42;2003.4766666666667;1965.2893103448275;1862.3612707535121
emiliaromagna_9015;2324.768783068783;2276.056724137931;2220.528727422003;NA
emiliaromagna_9045;2290.121724137931;2263.6137356321838;2235.038275862069;2185.976666666667
emiliaromagna_9075;3196.4103225478225;3115.5600751231527;NA;NA
emiliaromagna_9146;2024.050172413793;1977.5383333333334;1903.6352791461413;NA
emiliaromagna_9183;2091.6991379310343;2034.5908620689656;1977.0525287356322;NA
emiliaromagna_9192;NA;NA;NA;NA
emiliaromagna_9210;NA;1958.9517930473103;1903.4225951538883;NA
emiliaromagna_9224;2006.8676108374384;2003.6026207773707;NA;NA
emiliaromagna_9225;2077.5626819923373;2042.6475;1969.512620942276;1904.1603988603988
emiliaromagna_9320;1919.787183908046;1917.7666091954022;1895.7224137931034;1811.4679511739857
emiliaromagna_9387;NA;2349.570221674877;NA;NA
emiliaromagna_9588;2350.562962962963;2327.985238095238;2248.938729246488;NA
friuliveneziagiulia_13;NA;2675.1890313390313;2584.132988505747;2472.0463218390805
friuliveneziagiulia_2;NA;2985.422435897436;2913.8110837438426;2761.6516625615764
friuliveneziagiulia_20;2050.1;2012.9216666666666;1941.6100000000001;1848.2450000000001
friuliveneziagiulia_21;2348.189662189662;2302.4328201970443;2225.2124137931037;2117.9938505747127
friuliveneziagiulia_24;NA;1809.9897441160372;1757.2613054187193;1677.0505541871921
